product_code,product_name,material,spec,dimensions,category,packaging,mold,cost,price,production,note,images_count,image_files,has_print_area,source_file,source_type
JE300-R001,300g 크림브로우용기,PE,84x69(mm),,Jar/PE,,,,,,,2,GOODS1_1660007285.jpg|ADD_GOODS1_1660007285.jpg,false,idx_487.json,crawled
JE450-G001,450g 크림브로우용기,PE,91x95(mm),,Jar/PE,,,,,,,2,GOODS1_1660007668.jpg|ADD_GOODS1_1660007668.jpg,false,idx_491.json,crawled
JE660-R003,660g 크림브로우용기,PE,94x154(mm)/Ø32,,Jar/PE,,,,,,,2,GOODS1_1660007620.jpg|ADD_GOODS1_1660007620.jpg,false,idx_490.json,crawled
JE600-R002,600g 크림용기,PE,99x94(mm),,Jar/PE,,,,,,,2,GOODS1_1711671186.jpg|ADD_GOODS1_1711671186.jpg,false,idx_884.json,crawled
JE400-R002,400g 크림용기,PE,99x67(mm),,Jar/PE,,,,,,,3,ADD_GOODS2_1727849342.jpg|GOODS1_1727849342.jpg|ADD_GOODS1_1727849342.jpg,false,idx_904.json,crawled
BE030-G001,30ml 브로우용기,PE,30x69(mm)/Ø20,,Bottle/PE,,,,,,,1,GOODS1_1658122599.jpg,false,idx_68.json,crawled
BE150-G004,150ml 브로우용기,PE,58x95(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658123561.jpg,false,idx_87.json,crawled
BE111-L001,1000ml 브로우용기,PE,87x227(mm)/Ø32,,Bottle/PE,,,,,,,1,GOODS1_1658126288.jpg,false,idx_120.json,crawled
TE160-T001,160ml 튜브브로우용기,PE,45x160(mm)/Ø20,,Bottle/PE,,,,,,,1,GOODS1_1660004600.jpg,false,idx_462.json,crawled
BE120-U016,120ml 브로우용기,PE,66x29x139(mm)/Ø20,,Bottle/PE,,,,,,,1,GOODS1_1658133615.jpg,false,idx_177.json,crawled
BE060-R002,60ml 브로우용기,PE,36x92(mm)/Ø20,,Bottle/PE,,,,,,,4,ADD_GOODS2_165811631220250225113942.jpg|ADD_GOODS3_165811631220250225113942.jpg|GOODS1_165811631220250225113942.jpg|ADD_GOODS1_165811631220250225113942.jpg,false,idx_29.json,crawled
TE200-K002,200ml 튜브브로우용기,PE,64x42x145(mm)/Ø20,,Bottle/PE,,,,,,,2,GOODS1_1660006246.jpg|1660006246_1.jpg,false,idx_474.json,crawled
BE111-S008,1000ml 브로우용기,PE,102x65x228(mm)/Ø28,,Bottle/PE,,,,,,,1,GOODS1_1658128213.jpg,false,idx_136.json,crawled
BE480-G004,480ml 브로우용기,PE,82x124(mm)/Ø32,,Bottle/PE,,,,,,,2,GOODS1_1658123766.jpg|ADD_GOODS1_1658123766.jpg,false,idx_91.json,crawled
TE300-R002,300ml 튜브브로우용기,PE,63x132(mm)/Ø32,,Bottle/PE,,,,,,,2,GOODS1_1660004413.jpg|ADD_GOODS1_1660004413.jpg,false,idx_458.json,crawled
BE250-R007,250ml 브로우용기,PE,57x131(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658119135.jpg,false,idx_52.json,crawled
BE120-R005,120ml 브로우용기,PE,46x109(mm)/Ø20,,Bottle/PE,,,,,,,1,GOODS1_1658117138.jpg,false,idx_44.json,crawled
BE040-R001,40ml 브로우용기,PE,28x95(mm)/Ø20,,Bottle/PE,,,,,,,1,GOODS1_1658115266.jpg,false,idx_13.json,crawled
BE470-R010,470ml 브로우용기,PE,70x170(mm)/Ø32,,Bottle/PE,,,,,,,2,GOODS1_1658121255.jpg|ADD_GOODS1_1658121255.jpg,false,idx_64.json,crawled
TE030-G001,30ml 튜브브로우용기,PE,23x105(mm)/Ø19,,Bottle/PE,,,,,,,2,GOODS1_1659933865.jpg|ADD_GOODS1_1659933865.jpg,false,idx_439.json,crawled
