product_code,product_name,material,spec,dimensions,category,packaging,mold,cost,price,production,note,images_count,image_files,has_print_area,source_file,source_type
NP020-GE11,20파이 이중 원터치캡,PP,29x22(mm)/내경Ø20,,CapPump/PP,,,,,,,3,ADD_GOODS2_1740381116.jpg|GOODS1_1740381116.jpg|ADD_GOODS1_1740381116.jpg,false,idx_921.json,crawled
YP086-GM10,86파이 크림 중간캡,PP,Ø86x88+α(mm),,CapPump/PP,,,,,,,3,ADD_GOODS2_1716432170.jpg|GOODS1_1716432170.jpg|ADD_GOODS1_1716432170.jpg,false,idx_893.json,crawled
PTP024-CP02,24파이 회오리캡,PP,26x52(mm)/Ø24,,CapPump/PP,,,,,,,2,GOODS1_1752108647.jpg|ADD_GOODS1_1752108647.jpg,false,idx_953.json,crawled
QG100-G001,100ml 오버캡 헤비 브로우용기,PETG,38x155(mm)/Ø24,,CapPump/PETG,,,,,,,2,GOODS1_1660638512.jpg|ADD_GOODS1_1660638512.jpg,false,idx_657.json,crawled
QG080-G001,80ml 오버캡 헤비 브로우용기,PETG,37x124(mm)/Ø24,,CapPump/PETG,,,,,,,2,GOODS1_1660638418.jpg|ADD_GOODS1_1660638418.jpg,false,idx_656.json,crawled
QG030-G001,30ml 헤비캡 헤비 브로우용기,PETG,33x119(mm)/Ø20,,CapPump/PETG,,,,,,,2,GOODS1_1661744512.jpg|ADD_GOODS1_1661744512.jpg,false,idx_660.json,crawled
PO024-CG01,24파이 일반펌프,Other,내경 Ø24,,CapPump/Other,,,,,,,1,GOODS1_1661736361.jpg,false,idx_659.json,crawled
N/A,24파이 디퓨저 캡,Other,,,CapPump/Other,,,,,,,3,ADD_GOODS2_1744342150.jpg|GOODS1_1744342150.jpg|ADD_GOODS1_1744342150.jpg,false,idx_931.json,crawled
N/A,24파이 무광 온오프펌프,Other,,,CapPump/Other,,,,,,,1,GOODS1_1709793135.jpg,false,idx_874.json,crawled
N/A,32파이 룰렛 원터치캡,Other,,,CapPump/Other,,,,,,,1,GOODS1_1741758778.jpg,false,idx_927.json,crawled
RP020-GG01,20파이 프레스캡,Other,내경 Ø20,,CapPump/Other,,,,,,,2,GOODS1_1661748986.jpg|ADD_GOODS1_1661748986.jpg,false,idx_726.json,crawled
N/A,24파이 일반펌프,Other,,,CapPump/Other,,,,,,,1,GOODS1_1661745036.jpg,false,idx_663.json,crawled
N/A,32파이 일반펌프,Other,,,CapPump/Other,,,,,,,2,GOODS1_1661745621.jpg|ADD_GOODS1_1661745621.jpg,false,idx_675.json,crawled
N/A,24파이 온오프펌프,Other,,,CapPump/Other,,,,,,,1,GOODS1_1697161090.jpg,false,idx_858.json,crawled
N/A,24파이 일자형 미스트펌프,Other,,,CapPump/Other,,,,,,,1,GOODS1_1661747933.jpg,false,idx_710.json,crawled
N/A,28파이 민자캡,Other,,,CapPump/Other,,,,,,,1,GOODS1_1661749918.jpg,false,idx_747.json,crawled
N/A,20파이 이중단캡,Other,,,CapPump/Other,,,,,,,1,GOODS1_1661750072.jpg,false,idx_751.json,crawled
N/A,20파이 미스트펌프,Other,,,CapPump/Other,,,,,,,1,GOODS1_1661747747.jpg,false,idx_706.json,crawled
N/A,28파이 일반펌프,Other,,,CapPump/Other,,,,,,,1,GOODS1_1661746258.jpg,false,idx_680.json,crawled
