idx,product_name,url,crawl_status,image_count,image_status,image_types,print_area_status,spec_count,spec_status,spec_keys,crawled_at,json_path
659,24파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=659,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:56:37.536320,products/idx_659.json
662,28파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=662,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:04:44.050838,products/idx_662.json
663,24파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=663,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:03:00.745758,products/idx_663.json
664,28파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=664,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:58:35.730802,products/idx_664.json
665,24파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=665,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:02:51.666009,products/idx_665.json
666,24파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=666,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:54:50.234711,products/idx_666.json
667,28파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=667,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:00:38.535384,products/idx_667.json
668,28파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=668,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:58:43.575423,products/idx_668.json
669,32파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=669,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:59:30.103739,products/idx_669.json
670,32파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=670,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:53:52.051984,products/idx_670.json
671,24파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=671,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:04:08.926734,products/idx_671.json
672,24파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=672,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:51:09.916300,products/idx_672.json
673,28파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=673,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:59:15.102950,products/idx_673.json
674,28파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=674,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:49:49.721472,products/idx_674.json
675,32파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=675,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:50:34.649388,products/idx_675.json
676,32파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=676,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:02:17.306787,products/idx_676.json
677,24파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=677,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:47:29.374118,products/idx_677.json
678,24파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=678,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:01:59.379659,products/idx_678.json
679,28파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=679,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:56:10.771132,products/idx_679.json
680,28파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=680,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:57:31.421406,products/idx_680.json
681,32파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=681,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:58:27.751370,products/idx_681.json
682,32파이 일반펌프,http://chungjinkorea.com/kr/product/view.php?idx=682,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:46:36.328124,products/idx_682.json
