product_code,product_name,material,spec,dimensions,category,packaging,mold,cost,price,production,note,images_count,image_files,has_print_area,source_file,source_type
BT010-RM01,BT010-RM01 PET / 10ml,PET,PET / 10ml,,Unknown/PET,Ø20 / 6cavity,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT025-R001,BT025-R001 PET / 25ml,PET,PET / 25ml,,Unknown/PET,Ø20 / 6cavity,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT050-R001,BT050-R001 PET / 50ml,PET,PET / 50ml,,Unknown/PET,Ø20 / 6cavity,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT060-R001,BT060-R001 PET / 60ml,PET,PET / 60ml,,Unknown/PET,Ø20 / 6cavity,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT080-R001,BT080-R001 PET / 80ml,PET,PET / 80ml,,Unknown/PET,Ø20 / 6cavity,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT100-R001,BT100-R001 PET / 100ml,PET,PET / 100ml,,Unknown/PET,Ø20 / 6cavity,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT150-R001,BT150-R001 PET / 150ml,PET,PET / 150ml,,Unknown/PET,Ø24 / 4cavity,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT200-R001,BT200-R001 PET / 200ml,PET,PET / 200ml,,Unknown/PET,Ø24 / 4cavity,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT111-RP09,BT111-RP09 PET / 1000ml,PET,PET / 1000ml,,Unknown/PET,,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT111-R009,BT111-R009 PET / 1000ml,PET,PET / 1000ml,,Unknown/PET,,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT111-RM09,BT111-RM09 PET / 1000ml,PET,PET / 1000ml,,Unknown/PET,,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT020-GM04,BT020-GM04 PET / 20ml,PET,PET / 20ml,,Unknown/PET,,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT100-GS04,BT100-GS04 PET / 100ml,PET,PET / 100ml,,Unknown/PET,,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT120-G004,BT120-G004 PET / 120ml,PET,PET / 120ml,,Unknown/PET,Ø24 / 4cavity,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT200-G004,BT200-G004 PET / 200ml,PET,PET / 200ml,,Unknown/PET,Ø24 / 4cavity,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT250-G004,BT250-G004 PET / 250ml,PET,PET / 250ml,,Unknown/PET,Ø24 / 4cavity,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT300-G004,BT300-G004 PET / 300ml,PET,PET / 300ml,,Unknown/PET,Ø24 / 4cavity,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
BT400-G004,BT400-G004 PET / 400ml,PET,PET / 400ml,,Unknown/PET,Ø24 / 3cavity,,,,,,0,,false,제품 리스트_3.PET.xlsx,excel
