category,sub_category,capacity_ml,material,regular_price,discount_price,unit,product_type,size,specification,capacity_range,coating_type
용기,브로우,10-50,PE/PET,140,100,원,,,,,
용기,브로우,10-50,MB4C,170,140,원,,,,,
용기,브로우,10-50,PETG(얇은),220,160,원,,,,,
용기,브로우,10-50,PETG(준헤비),300,300,원,,,,,
용기,브로우,10-50,다층,250,230,원,,,,,
용기,브로우,10-50,헤비(PET),450,400,원,,,,,
용기,인쇄,10-50,PET,80,70,원,,,,,
용기,브로우,10-50,PE/PP,80,80,원,,,,,
용기,브로우,10-50,재질무관,60,60,원,,,,,
용기,브로우,10-50,용량,100,100,원,,,,,
용기,브로우,10-50,단가,280,240,원,,,,,
용기,브로우,80,PE/PET,160,130,원,,,,,
용기,브로우,80,MB4C,190,150,원,,,,,
용기,브로우,80,PETG(얇은),240,180,원,,,,,
용기,브로우,80,PETG(준헤비),320,320,원,,,,,
용기,브로우,80,다층,260,240,원,,,,,
용기,브로우,80,용량,150,150,원,,,,,
용기,브로우,80,단가,290,240,원,,,,,
용기,브로우,100,PE/PET,180,130,원,,,,,
용기,브로우,100,MB4C,240,160,원,,,,,
용기,브로우,100,PETG(얇은),260,220,원,,,,,
용기,브로우,100,PETG(준헤비),340,340,원,,,,,
용기,브로우,100,다층,280,250,원,,,,,
용기,브로우,100,헤비(PET),560,400,원,,,,,
용기,브로우,100,용량,200,200,원,,,,,
용기,브로우,100,단가,320,260,원,,,,,
용기,브로우,120,PE/PET,200,150,원,,,,,
용기,브로우,120,MB4C,260,180,원,,,,,
용기,브로우,120,PETG(얇은),280,240,원,,,,,
용기,브로우,120,PETG(준헤비),360,360,원,,,,,
용기,브로우,120,다층,290,250,원,,,,,
용기,브로우,120,용량,250,250,원,,,,,
용기,브로우,120,단가,340,270,원,,,,,
용기,브로우,150,PE/PET,220,160,원,,,,,
용기,브로우,150,MB4C,260,180,원,,,,,
용기,브로우,150,PETG(얇은),300,250,원,,,,,
용기,브로우,150,PETG(준헤비),380,380,원,,,,,
용기,브로우,150,다층,300,260,원,,,,,
용기,브로우,150,헤비(PET),600,430,원,,,,,
용기,브로우,150,용량,300,300,원,,,,,
용기,브로우,150,단가,350,280,원,,,,,
용기,브로우,180,PE/PET,240,170,원,,,,,
용기,브로우,180,MB4C,280,200,원,,,,,
용기,브로우,180,PETG(얇은),320,260,원,,,,,
용기,브로우,180,PETG(준헤비),400,380,원,,,,,
용기,브로우,180,다층,320,290,원,,,,,
용기,브로우,180,용량,500,500,원,,,,,
용기,브로우,180,단가,380,300,원,,,,,
용기,브로우,200,PE/PET,260,190,원,,,,,
용기,브로우,200,MB4C,300,200,원,,,,,
용기,브로우,200,PETG(얇은),340,280,원,,,,,
용기,브로우,200,PETG(준헤비),420,380,원,,,,,
용기,브로우,200,다층,380,340,원,,,,,
용기,브로우,200,헤비(PET),620,540,원,,,,,
용기,브로우,200,용량,750,750,원,,,,,
용기,브로우,200,단가,450,390,원,,,,,
용기,브로우,250,PE/PET,280,220,원,,,,,
용기,브로우,250,MB4C,320,240,원,,,,,
용기,브로우,250,PETG(얇은),360,300,원,,,,,
용기,브로우,250,PETG(준헤비),440,400,원,,,,,
용기,브로우,250,다층,400,360,원,,,,,
용기,브로우,250,용량,1000,1000,원,,,,,
용기,브로우,250,단가,500,410,원,,,,,
용기,브로우,300,PE/PET,300,230,원,,,,,
용기,브로우,300,MB4C,340,260,원,,,,,
용기,브로우,300,PETG(얇은),380,320,원,,,,,
용기,브로우,300,PETG(준헤비),460,430,원,,,,,
용기,브로우,300,다층,420,380,원,,,,,
용기,브로우,400,PE/PET,330,250,원,,,,,
용기,브로우,400,MB4C,380,320,원,,,,,
용기,브로우,400,PETG(얇은),440,420,원,,,,,
용기,브로우,400,PETG(준헤비),520,460,원,,,,,
용기,브로우,400,다층,440,400,원,,,,,
용기,브로우,500,PE/PET,350,260,원,,,,,
용기,브로우,500,MB4C,420,400,원,,,,,
용기,브로우,500,PETG(얇은),540,460,원,,,,,
용기,브로우,500,다층,500,430,원,,,,,
용기,인쇄,500,PET,90,80,원,,,,,
용기,브로우,500,PE/PP,90,90,원,,,,,
용기,브로우,500,재질무관,80,70,원,,,,,
용기,브로우,750,PE/PET,400,380,원,,,,,
용기,브로우,750,MB4C,540,480,원,,,,,
용기,브로우,750,PETG(얇은),600,520,원,,,,,
용기,인쇄,750,PET,120,100,원,,,,,
용기,브로우,750,PE/PP,120,100,원,,,,,
용기,브로우,750,재질무관,100,90,원,,,,,
용기,브로우,1000,PE/PET,460,420,원,,,,,
용기,브로우,1000,MB4C,620,520,원,,,,,
용기,브로우,1000,PETG(얇은),650,600,원,,,,,
용기,인쇄,1000,PET,130,110,원,,,,,
용기,브로우,1000,PE/PP,130,110,원,,,,,
"캡,펌프",펌프,,,260,220,원,일반,"Ø24, 28",2cc,,
"캡,펌프",펌프,,,420,390,원,고점도 무광,"Ø24, 28",2.6cc,,
"캡,펌프",펌프,,,320,300,원,금속작업,"Ø24,28,32",펌프제외,,
"캡,펌프",펌프,,,430,390,원,"에센스
펌프",310,0.2cc,,
"캡,펌프",펌프,,,420,380,원,온오프 펌프,Ø24,0.5cc,,
"캡,펌프",펌프,,,390,350,원,오일 펌프,Ø24,1cc,,
"캡,펌프",펌프,,,250,210,원,일반 미스트,"Ø20, 24",0.2cc,,
"캡,펌프",펌프,,,400,360,원,미세분사 미스트,"Ø20, 24",0.1cc,,
"캡,펌프",펌프,,,300,260,원,코 스프레이,"Ø20, 24",0.1cc,,
"캡,펌프",펌프,,,320,280,원,건 스프레이,Ø24,0.27cc,,
"캡,펌프",펌프,,,480,450,원,거품 펌프,Ø43,0.8cc,,
"캡,펌프",캡,,,100,90,원,원터치캡,,,,
"캡,펌프",캡,,,120,100,원,프레스캡,,,,
"캡,펌프",캡,,,70,70,원,막캡,,,,
"캡,펌프",캡,,,90,80,원,장캡,,,,
"캡,펌프",캡,,,120,100,원,스킨캡,,,,
"캡,펌프",캡,,,140,130,원,뾰족캡,,,,
코팅,,,,220,160,원,,,,10-50,무광코팅
코팅,,,,270,240,원,,,,10-50,2코팅(색상+무광)
코팅,,,,270,240,원,,,,10-50,1컬러 그라
코팅,,,,290,260,원,,,,10-50,2컬러 그라
코팅,,,,240,180,원,,,,-100,무광코팅
코팅,,,,290,250,원,,,,-100,2코팅(색상+무광)
코팅,,,,290,250,원,,,,-100,1컬러 그라
코팅,,,,310,270,원,,,,-100,2컬러 그라
코팅,,,,260,220,원,,,,-200,무광코팅
코팅,,,,310,270,원,,,,-200,2코팅(색상+무광)
코팅,,,,310,270,원,,,,-200,1컬러 그라
코팅,,,,330,290,원,,,,-200,2컬러 그라
코팅,,,,280,250,원,,,,-300,무광코팅
코팅,,,,330,300,원,,,,-300,2코팅(색상+무광)
코팅,,,,330,300,원,,,,-300,1컬러 그라
코팅,,,,350,320,원,,,,-300,2컬러 그라
코팅,,,,340,290,원,,,,-500,무광코팅
코팅,,,,390,360,원,,,,-500,2코팅(색상+무광)
코팅,,,,390,360,원,,,,-500,1컬러 그라
코팅,,,,410,380,원,,,,-500,2컬러 그라
코팅,,,,560,520,원,,,,-1000,무광코팅
코팅,,,,220,160,원,,,,크림용기,무광코팅
코팅,,,,290,250,원,,,,크림용기,2코팅(색상+무광)
코팅,,,,260,230,원,,,,크림용기,1컬러 그라
코팅,,,,300,250,원,,,,크림용기,2컬러 그라
코팅,,,,200,150,원,,,,스킨캡(PP),무광코팅
코팅,,,,250,220,원,,,,스킨캡(PP),2코팅(색상+무광)
코팅,,,,200,150,원,,,,크림캡(ABS),무광코팅
코팅,,,,250,220,원,,,,크림캡(ABS),2코팅(색상+무광)
