1,2,3,4,5,6,7,8,9,10,12,13
브로우,브로우,브로우,브로우,브로우,브로우,브로우,인쇄,인쇄,라벨,거품 브로우,거품 브로우
용량,PE/PET,MB4C,PETG(얇은),PETG(준헤비),다층,헤비(PET),PET,PE/PP,재질무관,용량,단가
10-50,140 (100),170 (140),220 (160),300,250 (230),450 (400),80 (70),80 (80),60 (60),100,280 (240)
80,160 (130),190 (150),240 (180),320,260 (240),,80 (70),80 (80),60 (60),150,290 (240)
100,180 (130),240 (160),260 (220),340,280 (250),560 (400),80 (70),80 (80),60 (60),200,320 (260)
120,200 (150),260 (180),280 (240),360,290 (250),,80 (70),80 (80),60 (60),250,340 (270)
150,220 (160),260 (180),300 (250),380,300 (260),600 (430),80 (70),80 (80),60 (60),300,350 (280)
180,240 (170),280 (200),320 (260),400 (380),320 (290),,80 (70),80 (80),60 (60),500,380 (300)
200,260 (190),300 (200),340 (280),420 (380),380 (340),620 (540),80 (70),80 (80),60 (60),750,450 (390)
250,280 (220),320 (240),360 (300),440 (400),400 (360),,80 (70),80 (80),60 (60),1000,500 (410)
300,300 (230),340 (260),380 (320),460 (430),420 (380),,80 (70),80 (80),60 (60),,
400,330 (250),380 (320),440 (420),520 (460),440 (400),X,80 (70),80 (80),60 (60),,
500,350 (260),420 (400),540 (460),X,500 (430),X,90 (80),90 (90),80 (70),,
750,400 (380),540 (480),600 (520),X,X,X,120 (100),120 (100),100 (90),,
1000,460 (420),620 (520),650 (600),X,X,X,130 (110),130 (110),100 (90),,
