1,2,3,4,5,7,8,9,10,11,12
펌프,펌프,펌프,펌프,펌프,캡,캡,캡,캡,캡,캡
일반,일반,"Ø24, 28",260 (220),2cc,구분,Ø20,Ø24,Ø28,Ø32,Ø43
일반,일반,Ø32,300 (260),3.8cc,원터치캡,100 (90),100 (90),110 (100),120 (110),
고점도 무광,고점도 무광,"Ø24, 28",420 (390),2.6cc,프레스캡,120 (100),120 (100),130 (110),,
고점도 무광,고점도 무광,Ø32,420 (390),4.3cc,막캡,70 (70),80 (80),90 (80),100 (90),150 (130)
금속작업,금속작업,"Ø24,28,32",320 (300),펌프제외,장캡,90 (80),,,,
컬러 제작 MOQ 1만개 리드타임 6-7주,컬러 제작 MOQ 1만개 리드타임 6-7주,컬러 제작 MOQ 1만개 리드타임 6-7주,컬러 제작 MOQ 1만개 리드타임 6-7주,컬러 제작 MOQ 1만개 리드타임 6-7주,스킨캡,120 (100),150 (130),,,
"에센스
펌프",Ø18,310,430 (390),0.2cc,뾰족캡,140 (130),140 (130),지에프,지에프,지에프
"에센스
펌프",풀오버캡,120,430 (390),0.2cc,회오리캡,,130 (120),팩킹샵,팩킹샵,팩킹샵
"에센스
펌프",Ø20,230,340 (300),0.2cc,고주파실링지 제작 및 삽입비,고주파실링지 제작 및 삽입비,고주파실링지 제작 및 삽입비,100 (90),100 (90),100 (90)
"에센스
펌프",풀오버캡,110,340 (300),0.2cc,박킹,한일실업,한일실업,40 (40),40 (40),40 (40)
"에센스
펌프","Ø20
반오버캡",x,260 (220),0.2cc,박킹,혜성테크,혜성테크,50 (50),50 (50),50 (50)
"에센스
펌프",Ø24,270,390 (350),0.5cc,이중캡,외경 Ø40,원플라텍,320 (280),320 (280),320 (280)
"에센스
펌프",풀오버캡,120,390 (350),0.5cc,이중캡,외경 Ø41,원플라텍,320 (320),320 (320),320 (320)
"에센스
펌프","Ø24
반오버캡",x,370 (330),0.5cc,이중캡,외경 Ø45,원플라텍,340 (280),340 (280),340 (280)
온오프 펌프,온오프 펌프,Ø24,420 (380),0.5cc,이중캡,외경 Ø50,원플라텍,340 (320),340 (320),340 (320)
오일 펌프,오일 펌프,Ø24,390 (350),1cc,오버캡,소,대경,PP(기본),110 (110),110 (110)
일반 미스트,일반 미스트,"Ø20, 24",250 (210),0.2cc,오버캡,소,대경,ABS(요청),유색:130 / 투명:170,유색:130 / 투명:170
미세분사 미스트,미세분사 미스트,"Ø20, 24",400 (360),0.1cc,오버캡,중,모소,ABS(기본),150 (130),150 (130)
코 스프레이,코 스프레이,"Ø20, 24",300 (260),0.1cc,오버캡,대,모소,ABS(기본),170 (140),170 (140)
건 스프레이,건 스프레이,Ø24,320 (280),0.27cc,"타원형
원터치캡",소,모소,130 (110),130 (110),130 (110)
건 스프레이,건 스프레이,Ø28,360 (320),0.27cc,"타원형
원터치캡",중,누리테크,130 (110),130 (110),130 (110)
건 스프레이,건 스프레이,폼 망,40 (30),,세제캡,Ø32,모소,320 (290),320 (290),320 (290)
거품 펌프,거품 펌프,Ø43,480 (450),0.8cc,세제캡,Ø43,모소,360 (320),360 (320),360 (320)
거품 펌프,거품 펌프,Ø43 무광,600 (520),0.8cc,물감캡,"Ø13,Ø18",모소,MOQ 2만개,MOQ 2만개,100 (80)
,,,,,스포이드,스포이드,스포이드,스포이드,스포이드,스포이드
,,,,,스포이드,"Ø18,Ø20","씨에스
팩토리",430,"부식숄더 단가 동일
유리관2종(일자/L자)
박킹2종(헤비/일반)
버튼 2종
(엘라스토머/실리콘)","부식숄더 단가 동일
유리관2종(일자/L자)
박킹2종(헤비/일반)
버튼 2종
(엘라스토머/실리콘)"
,,,,,스포이드,박킹,"씨에스
팩토리",40,"부식숄더 단가 동일
유리관2종(일자/L자)
박킹2종(헤비/일반)
버튼 2종
(엘라스토머/실리콘)","부식숄더 단가 동일
유리관2종(일자/L자)
박킹2종(헤비/일반)
버튼 2종
(엘라스토머/실리콘)"
,,,,,스포이드,트레이포장,"씨에스
팩토리",+20,"부식숄더 단가 동일
유리관2종(일자/L자)
박킹2종(헤비/일반)
버튼 2종
(엘라스토머/실리콘)","부식숄더 단가 동일
유리관2종(일자/L자)
박킹2종(헤비/일반)
버튼 2종
(엘라스토머/실리콘)"
,,,,,스포이드,"숄더금속
(트레이
포장포함)","씨에스
팩토리",+140,"부식숄더 단가 동일
유리관2종(일자/L자)
박킹2종(헤비/일반)
버튼 2종
(엘라스토머/실리콘)","부식숄더 단가 동일
유리관2종(일자/L자)
박킹2종(헤비/일반)
버튼 2종
(엘라스토머/실리콘)"
,,,,,스포이드,컬러 버튼,"씨에스
팩토리",+10,MOQ 1만개,MOQ 1만개
,,,,,스포이드,컬러 숄더,"씨에스
팩토리",+10,MOQ 1만개,MOQ 1만개
