product_code,product_name,material,spec,dimensions,category,packaging,mold,cost,price,production,note,images_count,image_files,has_print_area,source_file,source_type
MH050-G001,MH050-G001 50ml,Other,50ml,,Unknown/Other,,,,,,,0,,false,제품 리스트_8.다층브로우.xlsx,excel
MH100-G001(20),MH100-G001(20) 100ml,Other,100ml,,Unknown/Other,,,,,,,0,,false,제품 리스트_8.다층브로우.xlsx,excel
MH100-G001(24),MH100-G001(24) 100ml,Other,100ml,,Unknown/Other,,,,,,,0,,false,제품 리스트_8.다층브로우.xlsx,excel
MH150-G001,MH150-G001 150ml,Other,150ml,,Unknown/Other,,,,,,,0,,false,제품 리스트_8.다층브로우.xlsx,excel
MH200-G001,MH200-G001 200ml,Other,200ml,,Unknown/Other,,,,,,,0,,false,제품 리스트_8.다층브로우.xlsx,excel
MH300-G001,MH300-G001 300ml,Other,300ml,,Unknown/Other,,,,,,,0,,false,제품 리스트_8.다층브로우.xlsx,excel
MH400-G001(24),MH400-G001(24) 400ml,Other,400ml,,Unknown/Other,,,,,,,0,,false,제품 리스트_8.다층브로우.xlsx,excel
MH400-G001(28),MH400-G001(28) 400ml,Other,400ml,,Unknown/Other,,,,,,,0,,false,제품 리스트_8.다층브로우.xlsx,excel
PET / 200g,PET / 200g 60 x 109(mm) / Ø38,Other,60 x 109(mm) / Ø38,,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
PE / 200g,PE / 200g 60 x 109(mm) / Ø38,Other,60 x 109(mm) / Ø38,,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
60 x 109(mm),60 x 109(mm) 내경 Ø38,Other,내경 Ø38,,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
PET / 25g,PET / 25g 31 x 67(mm) / Ø20,Other,31 x 67(mm) / Ø20,,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
31 x 36(mm),31 x 36(mm) 내경 Ø20,Other,내경 Ø20,,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
pe / 140g,pe / 140g 51 x 100(mm) / Ø32,Other,51 x 100(mm) / Ø32,,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
pp / 140g,pp / 140g 54 x 53(mm),Other,54 x 53(mm),,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
54 x 52(mm),54 x 52(mm) 내경 Ø31,Other,내경 Ø31,,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
pet / 650ml,pet / 650ml 74 x 172(mm) / Ø56,Other,74 x 172(mm) / Ø56,,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
pet / 100ml,pet / 100ml 89 x 204(mm) / Ø56,Other,89 x 204(mm) / Ø56,,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
pe / 500ml,pe / 500ml 62 x 95 x 176(mm) / Ø24,Other,62 x 95 x 176(mm) / Ø24,,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
pe / 800ml,pe / 800ml 77 x 121 x 170(mm) / Ø42,Other,77 x 121 x 170(mm) / Ø42,,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
pe / 1000ml,pe / 1000ml 122 x 89 x 184(mm) / Ø42,Other,122 x 89 x 184(mm) / Ø42,,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
pet / 1000ml,pet / 1000ml 87 x 218(mm) / Ø28,Other,87 x 218(mm) / Ø28,,Unknown/Other,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
