product_code,product_name,material,spec,dimensions,category,packaging,mold,cost,price,production,note,images_count,image_files,has_print_area,source_file,source_type
38x43x83(mm)/Ø28,38x43x83(mm)/Ø28 PE,PE,PE,,Unknown/PE,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
47x54X107(mm)/Ø32,47x54X107(mm)/Ø32 PE,PE,PE,,Unknown/PE,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
48x85(mm)/Ø22,48x85(mm)/Ø22 LDPE+하이팍스,PE,LDPE+하이팍스,,Unknown/PE,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
48x144(mm)/Ø22,48x144(mm)/Ø22 LDPE+하이팍스,PE,LDPE+하이팍스,,Unknown/PE,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
48x176(mm)/Ø22,48x176(mm)/Ø22 LDPE+하이팍스,PE,LDPE+하이팍스,,Unknown/PE,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
47x124(mm)/Ø24,47x124(mm)/Ø24 PE,PE,PE,,Unknown/PE,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
73x166(mm)/Ø24,73x166(mm)/Ø24 PE,PE,PE,,Unknown/PE,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
45x57(mm)/Ø32,45x57(mm)/Ø32 LDPE+Q300F,PE,LDPE+Q300F,,Unknown/PE,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
64x143(mm)/Ø24,64x143(mm)/Ø24 PE,PE,PE,,Unknown/PE,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
BG400-R010,BG400-R010 PE / 400ml,PE,PE / 400ml,,Unknown/PE,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG180-C012,BG180-C012 PE / 180ml,PE,PE / 180ml,,Unknown/PE,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BE040-R001,BE040-R001 PE / 40ml,PE,PE / 40ml,,Unknown/PE,,,,,,,0,,false,제품 리스트_1.PE.xlsx,excel
BE050-R001,BE050-R001 PE / 50ml,PE,PE / 50ml,,Unknown/PE,,,,,,,0,,false,제품 리스트_1.PE.xlsx,excel
BE060-R001,BE060-R001 PE / 60ml,PE,PE / 60ml,,Unknown/PE,,,,,,,0,,false,제품 리스트_1.PE.xlsx,excel
BE080-R001,BE080-R001 PE / 80ml,PE,PE / 80ml,,Unknown/PE,,,,,,,0,,false,제품 리스트_1.PE.xlsx,excel
BE100-R001,BE100-R001 PE / 100ml,PE,PE / 100ml,,Unknown/PE,,,,,,,0,,false,제품 리스트_1.PE.xlsx,excel
BE140-R001,BE140-R001 PE / 140ml,PE,PE / 140ml,,Unknown/PE,,,,,,,0,,false,제품 리스트_1.PE.xlsx,excel
BE200-R001,BE200-R001 PE / 200ml,PE,PE / 200ml,,Unknown/PE,,,,,,,0,,false,제품 리스트_1.PE.xlsx,excel
BE150-R007,BE150-R007 PE / 150ml,PE,PE / 150ml,,Unknown/PE,,,,,,,0,,false,제품 리스트_1.PE.xlsx,excel
BE250-R007,BE250-R007 PE / 250ml,PE,PE / 250ml,,Unknown/PE,,,,,,,0,,false,제품 리스트_1.PE.xlsx,excel
