product_code,product_name,material,spec,dimensions,category,packaging,mold,cost,price,production,note,images_count,image_files,has_print_area,source_file,source_type
90x141(mm)/Ø43,90x141(mm)/Ø43 PETG,PETG,PETG,,Unknown/PETG,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
68x133(mm)/Ø43,68x133(mm)/Ø43 PETG,PETG,PETG,,Unknown/PETG,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
51x47x133(mm)/Ø24,51x47x133(mm)/Ø24 PETG,PETG,PETG,,Unknown/PETG,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
73x70x181(mm)/Ø28,73x70x181(mm)/Ø28 PETG,PETG,PETG,,Unknown/PETG,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
39x113(mm)/Ø24,39x113(mm)/Ø24 PETG,PETG,PETG,,Unknown/PETG,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
43x151(mm)/Ø24,43x151(mm)/Ø24 PETG,PETG,PETG,,Unknown/PETG,,,,,,,0,,false,제품 리스트_6.전용몰드.xlsx,excel
BG020-R001,BG020-R001 PETG / 20ml,PETG,PETG / 20ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG060-R001,BG060-R001 PETG / 60ml,PETG,PETG / 60ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG070-R001(20),BG070-R001(20) PETG / 70ml,PETG,PETG / 70ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG070-R001(24),BG070-R001(24) PETG / 70ml,PETG,PETG / 70ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG080-R001,BG080-R001 PETG / 80ml,PETG,PETG / 80ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG100-R001,BG100-R001 PETG / 100ml,PETG,PETG / 100ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG170-R001,BG170-R001 PETG / 170ml,PETG,PETG / 170ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG200-R001,BG200-R001 PETG / 200ml,PETG,PETG / 200ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG250-R010,BG250-R010 PETG / 300ml,PETG,PETG / 300ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG200-G008,BG200-G008 PETG / 200ml,PETG,PETG / 200ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG300-G008,BG300-G008 PETG / 300ml,PETG,PETG / 300ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG150-T005,BG150-T005 PETG / 150ml,PETG,PETG / 150ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG090-S006,BG090-S006 PETG / 90ml 준헤비,PETG,PETG / 90ml 준헤비,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG120-B002,BG120-B002 PETG / 120ml,PETG,PETG / 120ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG140-K003,BG140-K003 PETG / 140ml,PETG,PETG / 140ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG200-K003,BG200-K003 PETG / 200ml,PETG,PETG / 200ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG400-K003,BG400-K003 PETG / 400ml,PETG,PETG / 400ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BG150-C002,BG150-C002 PETG / 150ml,PETG,PETG / 150ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
HG030-R003,HG030-R003 PETG / 25ml,PETG,PETG / 25ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
HG060-R003,HG060-R003 PETG / 60ml,PETG,PETG / 60ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
HG120-R003,HG120-R003 PETG / 120ml,PETG,PETG / 120ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
HG120-R003,HG120-R003 PETG / 120ml,PETG,PETG / 120ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
HG020-T003,HG020-T003 PETG / 20ml,PETG,PETG / 20ml,,Unknown/PETG,,,,,,,0,,false,제품 리스트_2.PETG.xlsx,excel
BE150-R001,BE150-R001 PE / 150ml(petg 170),PETG,PE / 150ml(petg 170),,Unknown/PETG,,,,,,,0,,false,제품 리스트_1.PE.xlsx,excel
